id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1591,Garden Suite-King-Ensuite,1748,Jeff,Victoria,Rockland,48.42128,-123.33932,Private room,487,1,0,,,8,321
12125,Mermaid's Rest Guesthouse,46544,Kelly-Ann,Southern Gulf Islands,Southern Gulf Islands,48.77166,-123.29525,Entire home/apt,50,30,25,2016-09-06,0.25,2,0
14560,"Close to Royal Roads, hiking & biking trails",57242,Lilly,Colwood,Colwood,48.4085,-123.50878,Entire home/apt,91,3,41,2019-01-19,0.49,1,264
18101,Victorian Suite,69729,Ryan,Victoria,Fernwood,48.42668,-123.3398,Private room,190,2,0,,,4,197
18103,Boudoir,69729,Ryan,Victoria,Fernwood,48.42587,-123.34002,Private room,190,2,0,,,4,204
18106,Cameo Room,69729,Ryan,Victoria,Rockland,48.42461,-123.3381,Private room,109,2,0,,,4,192
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,280,2,0,,,4,191
54423,Perfect Downtown Condo,254653,Pawlina And Martin,Victoria,Downtown,48.421,-123.36325,Entire home/apt,110,7,60,2019-05-25,31.58,1,0
83515,GALLERY B&B,455118,Celia,Salt Spring Island,Salt Spring Island,48.85918,-123.49396,Entire home/apt,165,2,46,2019-05-20,0.47,3,273
121235,Shell Cottage 1 block to beach.,609880,Rebecca,Central Saanich,Central Saanich,48.58018,-123.46645,Entire home/apt,401,2,19,2019-01-01,0.51,4,300
138163,Shoreline Getaway - Two Acre Wood,674747,Julie,Southern Gulf Islands,Southern Gulf Islands,48.91177,-123.37735,Entire home/apt,160,2,296,2019-05-20,3.10,1,273
179318,Old town loft on private courtyard near harbour,858603,John,Victoria,Downtown,48.42859,-123.37026,Entire home/apt,151,3,13,2019-05-07,0.38,4,59
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50617,-123.46399,Private room,199,1,48,2019-05-19,0.51,3,0
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42525,-123.33686,Entire home/apt,165,3,124,2019-05-18,1.40,1,248
200672,Monthly Fully Furnished 1 bed 1 bath water views,932321,Owen,Victoria,Victoria West,48.42935,-123.37834,Entire home/apt,140,15,7,2018-05-31,0.16,1,146
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50467,-123.4625,Private room,69,1,46,2018-09-29,0.55,3,358
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50644,-123.46423,Private room,138,1,11,2018-09-23,0.24,3,358
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,110,3,274,2019-05-06,3.45,3,5
203866,Private 1 bedroom suite by the sea,1000229,Janine,Victoria,Gonzales,48.41213,-123.3319,Entire home/apt,95,28,253,2018-09-01,3.43,1,243
210677,Located in the heart of Victoria BC,1037115,Rose And Glen,Victoria,James Bay,48.41535,-123.37037,Entire home/apt,396,28,54,2019-03-31,0.66,1,250
212267,Victoria Inner Harbour's Best Value,1094851,Brian And Jocelan,Victoria,James Bay,48.41741,-123.36939,Entire home/apt,138,3,217,2019-03-30,2.31,1,183
225431,TRENDY SEASIDE LOCATION- Main Level,1174462,Jenny And Richard,Victoria,Fairfield,48.41074,-123.35294,Entire home/apt,75,180,12,2013-07-19,0.13,1,29
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42882,-123.35055,Private room,185,3,236,2019-04-29,2.54,2,286
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42684,-123.35082,Private room,250,3,8,2018-07-09,0.17,2,0
237053,Character Suite Inn Victorian Home,1216332,Ann,Victoria,James Bay,48.41276,-123.36944,Private room,54,2,239,2019-05-03,2.58,3,327
239129,Executive inner city loft condo.,1208031,Haydee And Owen,Victoria,Downtown,48.42967,-123.36237,Entire home/apt,108,28,7,2017-07-01,0.09,1,298
250576,Character home close to downtown,911586,Jennifer,Victoria,Hillside/Quadra,48.4419,-123.35661,Private room,44,1,159,2019-03-11,1.90,2,206
259984,Bright Loft with Patio near Beach and Downtown!!,1364560,Kirsten,Victoria,Fairfield,48.41795,-123.35223,Entire home/apt,99,2,65,2019-05-19,0.94,1,193
306192,Private Oceanfront Cottage ,1574682,Norm & Pam,Sooke,Sooke,48.38375,-123.70692,Entire home/apt,151,3,72,2018-08-30,0.85,1,145
326869,Beautiful 1 Bedroom Suite on Victoria's Westshore,1671474,Blake And Ericka,Langford,Langford,48.41591,-123.51703,Entire home/apt,109,3,52,2019-05-20,0.59,1,132
330706,Lovely Downtown Condo Sleeps 6 W/Parking,1299678,Suzanne & Tom,Victoria,Downtown,48.42749,-123.36361,Entire home/apt,109,1,87,2019-05-22,7.93,2,277
348606,Enjoy Pacific sunsets on the bay,1757713,Valerie,Victoria,Gonzales,48.40891,-123.33573,Entire home/apt,151,4,68,2019-02-11,0.96,1,113
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.4317,-123.32508,Private room,110,2,112,2019-05-05,1.30,2,359
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41107,-123.37675,Entire home/apt,149,28,8,2018-01-02,0.17,15,321
405558,James Bay Menzies-Dallas Oceanfront Suite #2,2001974,Martin,Victoria,James Bay,48.41263,-123.37702,Entire home/apt,120,28,17,2018-01-13,0.20,15,269
408315,Sidney waterfront home,2032438,Adrian,Sidney,Sidney,48.66178,-123.40366,Entire home/apt,288,7,11,2019-05-17,0.19,1,273
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42611,-123.34047,Entire home/apt,109,28,19,2018-09-01,0.23,15,330
410542,Rockland Downtown Just Renovated! Suite #6,2001974,Martin,Victoria,Rockland,48.4249,-123.33928,Entire home/apt,67,28,12,2019-01-31,0.14,15,357
410918,PENTHOUSE + WATER VIEWS = LUXURY,2045938,Shelly,Victoria,Victoria West,48.43066,-123.37843,Entire home/apt,125,30,60,2019-02-24,0.80,1,201
416786,Renovated Townhouse Near Downtown Suite #1,2001974,Martin,Victoria,Fernwood,48.42641,-123.34648,Entire home/apt,169,28,13,2018-08-20,0.15,15,302
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43183,-123.32669,Private room,120,2,74,2019-05-05,0.88,2,358
449236,Bloom Organic B&B - Pond Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.92753,-123.57295,Private room,175,2,41,2019-05-21,0.49,2,350
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42416,-123.34062,Entire home/apt,120,28,21,2018-09-03,0.25,15,243
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Fernwood,48.42598,-123.33982,Entire home/apt,94,28,27,2018-09-07,0.33,15,173
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292,-123.37774,Entire home/apt,129,28,16,2018-12-03,0.19,15,330
466191,Charming House Downtown Victoria,1678711,Megan,Victoria,Rockland,48.42223,-123.34636,Entire home/apt,500,1,107,2019-05-24,1.26,2,304
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.9273,-123.57431,Private room,196,2,19,2019-05-20,0.33,2,341
479450,"Beautiful, bright, great walks plus",2375062,John,Victoria,Oaklands,48.43936,-123.34842,Entire home/apt,134,28,55,2018-12-29,0.78,3,0
499119,Downtown Condo - Awesome Location,283446,Kyle,Victoria,Downtown,48.42641,-123.36922,Entire home/apt,116,5,95,2019-04-21,1.12,1,132
512926,Wildslope -a modern farm by the sea,2526687,Brie,Metchosin,Metchosin,48.35166,-123.55374,Entire home/apt,200,7,20,2016-07-09,0.27,1,206
514811,Waterfront walks & welcome foodies!,393956,Rhona,Saanich,Saanich,48.45215,-123.41781,Entire home/apt,75,3,178,2019-05-21,2.11,1,304
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Fernwood,48.42619,-123.33986,Entire home/apt,90,28,8,2018-08-13,0.10,15,329
523926,"Character house, in quiet Victoria neighbourhood",2575881,Catherine,Victoria,Hillside/Quadra,48.44101,-123.35339,Private room,75,1,303,2019-05-20,3.60,1,325
528492,Victoria Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43019,-123.36862,Entire home/apt,190,3,11,2017-11-14,0.15,1,168
532854,West Coast Wonder close to Downtown,2618389,Diane,Esquimalt,Esquimalt,48.43875,-123.39495,Private room,59,2,43,2017-12-05,0.51,1,114
537710,Beachfront @ Vesuvius B & B with oceanside hot tub,2641800,Jacqui & Dan,Salt Spring Island,Salt Spring Island,48.87769,-123.56839,Entire home/apt,224,2,8,2019-04-14,0.13,2,307
539214,Beachfront at Vesuvius with oceanfront hot tub,2641800,Jacqui & Dan,Salt Spring Island,Salt Spring Island,48.87961,-123.56984,Entire home/apt,200,2,39,2019-05-12,0.47,2,309
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.43492,-123.34064,Entire home/apt,103,30,95,2019-05-18,2.01,2,301
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42624,-123.34019,Entire home/apt,109,28,17,2018-03-15,0.21,15,177
561477,Cabin at Swallow's Keep,2760576,Marcia,Southern Gulf Islands,Southern Gulf Islands,48.99371,-123.57915,Entire home/apt,125,2,208,2019-05-20,2.67,1,102
571258,MEMORY LANE - ENTIRE PRIVATE APARTMENT,2811302,Sharon,Sooke,Sooke,48.38672,-123.72408,Entire home/apt,81,1,63,2019-05-20,0.77,1,325
594158,OVER the RAINBOW B&B on Salt Spring #hostwithpride,577122,Lisa,Salt Spring Island,Salt Spring Island,48.76703,-123.45816,Private room,136,2,43,2019-05-20,0.91,1,354
624238,Gorgeous sun-filled OCEANFRONT Home,2949874,Margie,Oak Bay,Oak Bay,48.4063,-123.32034,Entire home/apt,649,3,13,2018-08-07,0.18,1,156
635317,"Large cheery Fernwood space, private",3033889,Marianne,Victoria,Fernwood,48.42881,-123.34569,Private room,90,2,55,2017-09-11,1.50,1,280
644821,Colorful and Arty Home,3227731,Ed,Saanich,Saanich,48.46888,-123.39617,Private room,51,1,55,2019-05-20,0.94,2,267
